x,y,predicted_intensity
-4.25,-8.25,2.1221815198699634
-4.0,-8.25,2.2923724077334384
-3.75,-8.25,2.3526141044727993
-3.5,-8.25,2.3814972794965055
-3.25,-8.25,2.4812528594865597
-3.0,-8.25,2.5488634923308346
-2.75,-8.25,2.7044673042021206
-2.5,-8.25,2.7265743373017113
-2.25,-8.25,2.798385780400002
-2.0,-8.25,3.072898927822032
-1.75,-8.25,3.25759254491708
-1.5,-8.25,3.6120008538999007
-1.25,-8.25,3.986458317273775
-1.0,-8.25,4.61438581094319
-0.75,-8.25,5.497102243673441
-0.5,-8.25,6.811287050490142
-0.25,-8.25,7.799396796538203
0.0,-8.25,9.53540839987062
0.25,-8.25,11.7878500032668
0.5,-8.25,14.494149534736103
0.75,-8.25,18.270045416457563
1.0,-8.25,22.099616855373966
1.25,-8.25,25.95267687044766
1.5,-8.25,31.51548486896033
1.75,-8.25,33.34115031588405
2.0,-8.25,36.52416596945817
2.25,-8.25,32.76985542212378
2.5,-8.25,41.64110392788939
2.75,-8.25,45.57917794712239
3.0,-8.25,50.37445960828586
3.25,-8.25,54.233330761925345
3.5,-8.25,45.58362830202873
3.75,-8.25,46.9124415496143
4.0,-8.25,42.04891671235259
4.25,-8.25,39.950095016877555
4.5,-8.25,36.497648314684945
4.75,-8.25,34.62713810466472
5.0,-8.25,33.76248757762983
5.25,-8.25,32.953881981809346
5.5,-8.25,31.727938273346687
5.75,-8.25,30.05620873130138
6.0,-8.25,30.503737695314555
6.25,-8.25,30.088134671218462
6.5,-8.25,28.462921088749425
6.75,-8.25,26.239342979207137
7.0,-8.25,22.114175957308056
7.25,-8.25,17.617803888500497
7.5,-8.25,14.007083075327685
7.75,-8.25,13.949562829353951
8.0,-8.25,14.830923628687337
8.25,-8.25,13.632060851566983
8.5,-8.25,14.093772062070549
8.75,-8.25,12.27085730206561
9.0,-8.25,5.165468393573855
9.25,-8.25,0.9148272570775096
-9.5,-8.0,0.015273624302608823
-9.25,-8.0,0.08479800790520646
-9.0,-8.0,0.18390357325822682
-8.75,-8.0,0.1360223603278532
-8.5,-8.0,0.008735370194927317
-8.25,-8.0,-0.01836810423321389
-8.0,-8.0,-0.004749602654882973
-7.75,-8.0,-0.00037758439976122785
-7.5,-8.0,3.5268674794302875e-05
-7.25,-8.0,0.00015834581317993967
-7.0,-8.0,0.0006916327046766259
-6.75,-8.0,0.00348421098340353
-6.5,-8.0,0.012822080621217527
-6.25,-8.0,0.04184470803858026
-6.0,-8.0,0.09561472078710913
-5.75,-8.0,0.14480184280845737
-5.5,-8.0,0.27672527596518653
-5.25,-8.0,0.616733949086747
-5.0,-8.0,1.1896021921207025
-4.75,-8.0,1.9710174253330077
-4.5,-8.0,2.3155024363993206
-4.25,-8.0,2.245780340651695
-4.0,-8.0,2.3207575038584096
-3.75,-8.0,2.3732059101820653
-3.5,-8.0,2.449981929025256
-3.25,-8.0,2.5063674099642324
-3.0,-8.0,2.594869730524371
-2.75,-8.0,2.632994199184811
-2.5,-8.0,2.8956395159484885
-2.25,-8.0,3.1386586769846687
-2.0,-8.0,3.099385953952896
-1.75,-8.0,3.248380510725662
-1.5,-8.0,3.436619249739966
-1.25,-8.0,3.530900781317854
-1.0,-8.0,3.7617060885871894
-0.75,-8.0,4.089457350472102
-0.5,-8.0,4.9709046925012
-0.25,-8.0,6.098808904374771
0.0,-8.0,7.380551632088754
0.25,-8.0,9.09085453103264
0.5,-8.0,11.804770315552092
0.75,-8.0,14.465591292446142
1.0,-8.0,18.328399750478795
1.25,-8.0,21.752068252799234
1.5,-8.0,28.71147800511133
1.75,-8.0,35.83537903449499
2.0,-8.0,39.725790836188935
2.25,-8.0,43.34043591883193
2.5,-8.0,42.31771731465017
2.75,-8.0,37.663792855388465
3.0,-8.0,40.841520659205344
3.25,-8.0,54.53761688886698
3.5,-8.0,54.109696681631476
3.75,-8.0,45.28662323000094
4.0,-8.0,43.64502674885364
4.25,-8.0,39.86646696956399
4.5,-8.0,36.54745813303407
4.75,-8.0,34.843137162657
5.0,-8.0,33.49973925327636
5.25,-8.0,33.434443174157074
5.5,-8.0,32.47685958842016
5.75,-8.0,31.423240529279138
6.0,-8.0,32.17306206333731
6.25,-8.0,31.543400388521746
6.5,-8.0,31.46166403745636
6.75,-8.0,28.65961832508185
7.0,-8.0,24.496224131801853
7.25,-8.0,19.677730042452026
7.5,-8.0,16.59443541750639
7.75,-8.0,13.526330766295516
8.0,-8.0,10.75816104956376
8.25,-8.0,13.29790634796803
8.5,-8.0,14.901256067884937
8.75,-8.0,12.898717752238523
9.0,-8.0,5.500238820247391
9.25,-8.0,0.9783176154925718
-9.5,-7.75,0.06303216033958972
-9.25,-7.75,0.33460916118259015
-9.0,-7.75,0.6335782968818964
-8.75,-7.75,0.22409080578502083
-8.5,-7.75,-0.31415875732531084
-8.25,-7.75,-0.2217184885749739
-8.0,-7.75,-0.04400009278818051
-7.75,-7.75,-0.0031599174324022337
-7.5,-7.75,-7.845041012503255e-05
-7.25,-7.75,2.4087893897667724e-06
-7.0,-7.75,1.8638063551217023e-05
-6.75,-7.75,0.00012183804389947263
-6.5,-7.75,0.0006464952760191952
-6.25,-7.75,0.0027999390347052955
-6.0,-7.75,0.00709300644411946
-5.75,-7.75,0.013717417962056493
-5.5,-7.75,0.045235085662039085
-5.25,-7.75,0.19375519619420534
-5.0,-7.75,0.7548158358794483
-4.75,-7.75,1.7970557547767005
-4.5,-7.75,2.3269198834338267
-4.25,-7.75,2.2736573899526533
