x,y,intensity
-8.875,-8.875,-1
-8.625,-8.875,7.83288e-06
-8.375,-8.875,-1
-8.125,-8.875,-1
-7.875,-8.875,-1
-7.625,-8.875,-1
-7.375,-8.875,-1
-7.125,-8.875,-1
-6.875,-8.875,-1
-6.625,-8.875,-1
-6.375,-8.875,1.66333
-6.125,-8.875,1.69583
-5.875,-8.875,1.74613
-5.625,-8.875,1.76533
-5.375,-8.875,1.79996
-5.125,-8.875,1.84385
-4.875,-8.875,1.89434
-4.625,-8.875,1.94976
-4.375,-8.875,2.01855
-4.125,-8.875,2.05319
-3.875,-8.875,2.14534
-3.625,-8.875,2.20454
-3.375,-8.875,2.28779
-3.125,-8.875,2.39567
-2.875,-8.875,2.51597
-2.625,-8.875,2.64518
-2.375,-8.875,2.83729
-2.125,-8.875,3.04148
-1.875,-8.875,3.33308
-1.625,-8.875,3.7393
-1.375,-8.875,4.31142
-1.125,-8.875,5.17347
-0.875,-8.875,6.06999
-0.625,-8.875,8.6387
-0.375,-8.875,9.30806
-0.125,-8.875,10.7824
0.125,-8.875,11.6446
0.375,-8.875,14.4683
0.625,-8.875,16.7712
0.875,-8.875,19.3565
1.125,-8.875,21.9572
1.375,-8.875,22.722
1.625,-8.875,25.1109
1.875,-8.875,26.9721
2.125,-8.875,46.422
2.375,-8.875,47.6659
2.625,-8.875,48.1837
2.875,-8.875,47.9301
3.125,-8.875,47.0227
3.375,-8.875,45.5906
3.625,-8.875,43.9588
3.875,-8.875,42.0373
4.125,-8.875,39.9165
4.375,-8.875,38.001
4.625,-8.875,36.2438
4.875,-8.875,34.6091
5.125,-8.875,33.1322
5.375,-8.875,30.8869
5.625,-8.875,28.9485
5.875,-8.875,28.6665
6.125,-8.875,27.4273
6.375,-8.875,24.8378
6.625,-8.875,21.4447
6.875,-8.875,20.5761
7.125,-8.875,15.5113
7.375,-8.875,12.4184
7.625,-8.875,12.4087
7.875,-8.875,12.2677
8.125,-8.875,12.2976
8.375,-8.875,11.693
8.625,-8.875,11.4519
8.875,-8.875,-1
9.125,-8.875,-1
9.375,-8.875,-1
-9.375,-8.625,-1
-9.125,-8.625,-1
-8.875,-8.625,-1
-8.625,-8.625,5.5796e-06
-8.375,-8.625,-1
-8.125,-8.625,-1
-7.875,-8.625,-1
-7.625,-8.625,-1
-7.375,-8.625,-1
-7.125,-8.625,-1
-6.875,-8.625,-1
-6.625,-8.625,-1
-6.375,-8.625,-1
-6.125,-8.625,-1
-5.875,-8.625,1.77833
-5.625,-8.625,1.81833
-5.375,-8.625,1.86894
-5.125,-8.625,1.94225
-4.875,-8.625,1.98948
-4.625,-8.625,2.03623
-4.375,-8.625,2.1031
-4.125,-8.625,2.15831
-3.875,-8.625,2.22444
-3.625,-8.625,2.31626
-3.375,-8.625,2.38401
-3.125,-8.625,2.49342
-2.875,-8.625,2.62039
-2.625,-8.625,2.71058
-2.375,-8.625,2.91788
-2.125,-8.625,3.14072
-1.875,-8.625,3.26902
-1.625,-8.625,3.8435
-1.375,-8.625,4.51207
-1.125,-8.625,5.41209
-0.875,-8.625,6.38563
-0.625,-8.625,7.82066
-0.375,-8.625,9.49375
-0.125,-8.625,11.4543
0.125,-8.625,12.5142
0.375,-8.625,15.6623
0.625,-8.625,18.142
0.875,-8.625,20.8607
1.125,-8.625,24.806
1.375,-8.625,25.3295
1.625,-8.625,27.3267
1.875,-8.625,28.8736
2.125,-8.625,48.3983
2.375,-8.625,48.9817
2.625,-8.625,48.7567
2.875,-8.625,47.8181
3.125,-8.625,46.4065
3.375,-8.625,44.6162
3.625,-8.625,42.6651
3.875,-8.625,40.5989
4.125,-8.625,38.6566
4.375,-8.625,36.8697
4.625,-8.625,35.2093
4.875,-8.625,34.4402
5.125,-8.625,33.1352
5.375,-8.625,31.5848
5.625,-8.625,29.7252
5.875,-8.625,28.9216
6.125,-8.625,27.4487
6.375,-8.625,26.0051
6.625,-8.625,22.7683
6.875,-8.625,22.1563
7.125,-8.625,19.7025
7.375,-8.625,12.4866
7.625,-8.625,12.5013
7.875,-8.625,12.578
8.125,-8.625,12.7808
8.375,-8.625,12.8424
8.625,-8.625,12.6438
8.875,-8.625,-1
9.125,-8.625,-1
9.375,-8.625,-1
-9.375,-8.375,-1
-9.125,-8.375,-1
-8.875,-8.375,-1
-8.625,-8.375,4.62685e-06
-8.375,-8.375,-1
-8.125,-8.375,-1
-7.875,-8.375,-1
-7.625,-8.375,-1
-7.375,-8.375,-1
-7.125,-8.375,-1
-6.875,-8.375,-1
-6.625,-8.375,-1
-6.375,-8.375,-1
-6.125,-8.375,-1
-5.875,-8.375,-1
-5.625,-8.375,-1
-5.375,-8.375,-1
-5.125,-8.375,1.96524
-4.875,-8.375,2.02731
-4.625,-8.375,2.05769
-4.375,-8.375,2.15103
-4.125,-8.375,2.18831
-3.875,-8.375,2.27437
-3.625,-8.375,2.37839
-3.375,-8.375,2.3856
-3.125,-8.375,2.42415
-2.875,-8.375,2.5869
-2.625,-8.375,2.73594
-2.375,-8.375,2.81321
-2.125,-8.375,3.07532
-1.875,-8.375,3.30074
-1.625,-8.375,3.65207
-1.375,-8.375,4.16102
-1.125,-8.375,4.91301
-0.875,-8.375,5.88261
-0.625,-8.375,7.17807
-0.375,-8.375,8.57927
-0.125,-8.375,10.2413
0.125,-8.375,12.3644
0.375,-8.375,14.7697
0.625,-8.375,17.7608
0.875,-8.375,21.8427
1.125,-8.375,25.4662
1.375,-8.375,29.3808
1.625,-8.375,32.7148
1.875,-8.375,33.6042
2.125,-8.375,35.0402
2.375,-8.375,35.2284
2.625,-8.375,54.5914
2.875,-8.375,52.8668
3.125,-8.375,50.3908
3.375,-8.375,47.551
3.625,-8.375,44.7226
3.875,-8.375,41.8958
4.125,-8.375,39.4248
4.375,-8.375,39.2149
4.625,-8.375,35.3609
4.875,-8.375,33.9017
5.125,-8.375,32.4798
5.375,-8.375,32.0506
5.625,-8.375,30.2142
5.875,-8.375,28.9602
6.125,-8.375,29.5141
6.375,-8.375,28.2557
6.625,-8.375,25.6069
6.875,-8.375,23.3839
7.125,-8.375,19.3563
7.375,-8.375,16.9592
7.625,-8.375,13.2586
7.875,-8.375,13.4053
8.125,-8.375,13.7103
8.375,-8.375,13.3032
8.625,-8.375,13.5146
8.875,-8.375,-1
9.125,-8.375,-1
9.375,-8.375,-1
-9.375,-8.125,-1
-9.125,-8.125,-1
-8.875,-8.125,-1
-8.625,-8.125,3.83146e-06
-8.375,-8.125,-1
-8.125,-8.125,-1
-7.875,-8.125,-1
-7.625,-8.125,-1
-7.375,-8.125,-1
-7.125,-8.125,-1
-6.875,-8.125,-1
-6.625,-8.125,-1
-6.375,-8.125,-1
-6.125,-8.125,-1
-5.875,-8.125,-1
-5.625,-8.125,-1
-5.375,-8.125,-1
-5.125,-8.125,-1
-4.875,-8.125,-1
-4.625,-8.125,2.15967
-4.375,-8.125,-1
-4.125,-8.125,2.23061
-3.875,-8.125,2.35995
-3.625,-8.125,2.35294
-3.375,-8.125,2.47789
-3.125,-8.125,2.55766
-2.875,-8.125,2.63714
-2.625,-8.125,2.73053
-2.375,-8.125,2.85912
-2.125,-8.125,2.97459
-1.875,-8.125,3.09985
-1.625,-8.125,3.30933
-1.375,-8.125,3.5917
-1.125,-8.125,3.77767
-0.875,-8.125,4.23596
-0.625,-8.125,4.93808
-0.375,-8.125,6.20603
-0.125,-8.125,7.07081
0.125,-8.125,9.07407
0.375,-8.125,11.2427
0.625,-8.125,14.4511
0.875,-8.125,17.7663
1.125,-8.125,21.4886
1.375,-8.125,26.1574
1.625,-8.125,32.6155
1.875,-8.125,36.4512
2.125,-8.125,39.4938
2.375,-8.125,39.099
2.625,-8.125,38.9012
2.875,-8.125,37.2007
3.125,-8.125,56.0138
3.375,-8.125,51.8167
3.625,-8.125,48.0076
3.875,-8.125,45.0863
4.125,-8.125,42.0217
4.375,-8.125,37.1088
4.625,-8.125,35.1707
4.875,-8.125,34.0847
5.125,-8.125,33.8071
5.375,-8.125,32.6473
5.625,-8.125,31.3251
5.875,-8.125,30.9342
6.125,-8.125,31.3084
6.375,-8.125,30.0387
6.625,-8.125,29.4163
6.875,-8.125,25.1315
7.125,-8.125,21.2019
7.375,-8.125,14.4876
7.625,-8.125,14.5769
7.875,-8.125,14.3578
8.125,-8.125,13.9295
